1	what are bigos?	0	bigos --> dish type of dish --> [u'Stew']	0	bigos --> dish cuisine --> [u'Polish food']	0
1301	what celebrities has brody jenner dated?	14	brody jenner --> romantic relationship celebrity --> [u'Lauren Katherine Conrad', u'Nicole Richie', u'Jayde Nicole']	1	brody jenner --> person parents --> [u'Linda Thompson', u'Bruce Jenner']	3
1302	which country was justin bieber born in?	457	justin bieber --> person nationality --> [u'Canada']	1	justin bieber --> place lived location --> [u'Canada', u'Stratford']	2
1303	what year was albert pujols rookie year?	429	albert pujols --> batting statistics season --> [u'2006 Major League Baseball season', u'2007 Major League Baseball season', u'2008 Major League Baseball season', u'2005 Major League Baseball season', u'2004 Major League Baseball season']	0	albert pujols --> lifetime batting statistics starting season --> [u'2001 Major League Baseball season']	0
1304	where did they find jenni rivera's body?	61	jenni rivera --> deceased person place of death --> [u'Iturbide, Nuevo Le\xf3n']	0	jenni rivera --> place lived location --> [u'California']	1
1305	who did carrie ann inaba get engaged to?	94	carrie ann inaba --> marriage spouse --> [u'Jesse Sloan']	0	carrie ann inaba --> award nomination award nominee --> [u'Bruno Tonioli', u'Tom Bergeron', u'Matilda Zoltowski', u'Rob Wade', u'Conrad Green']	13
1306	where do scottish people originate from?	37	scottish people --> ethnicity included in group --> [u'Europeans', u'Celts']	2	scottish people --> ethnicity geographic distribution --> [u'United Kingdom']	13
1307	what high school did maya angelou go to?	146	maya angelou --> education institution --> [u'George Washington High School', u'California Labor School']	0	maya angelou --> education institution --> [u'George Washington High School', u'California Labor School']	0
1308	what language do colombian people speak?	9	colombian people --> ethnicity languages spoken --> [u'Spanish Language']	0	colombian people --> ethnicity languages spoken --> [u'Spanish Language']	0
1309	what part of the country is new england?	14503	EMPTY	0	new england --> location contains --> [u'Maine', u'New Hampshire', u'Connecticut River', u'Connecticut', u'Rhode Island']	185
1310	who was canadian prime minister in 1993?	1873	prime minister of canada --> government position held office holder --> [u'Mackenzie Bowell', u'Brian Mulroney', u'Pierre Trudeau', u'Wilfrid Laurier', u'Louis St. Laurent']	355	prime minister of canada --> government position held office holder --> [u'Mackenzie Bowell', u'Brian Mulroney', u'Pierre Trudeau', u'Wilfrid Laurier', u'Louis St. Laurent']	355
1311	what is the capital of modern day egypt?	29026	egypt --> country capital --> [u'Cairo']	1103	egypt --> country capital --> [u'Cairo']	1103
1312	where did george w bush live as a child?	8376	george bush --> person place of birth --> [u'New Haven']	3	george bush --> place lived location --> [u'Washington, D.C.', u'Midland']	34
1313	who originally voiced meg on family guy?	1027	family guy --> regular tv appearance actor --> [u'Seth MacFarlane', u'Alec Sulkin', u'Patrick Warburton', u'Lacey Chabert', u'Seth Green']	86	family guy --> regular tv appearance actor --> [u'Seth MacFarlane', u'Alec Sulkin', u'Patrick Warburton', u'Lacey Chabert', u'Seth Green']	86
1314	where was george washington carver from?	2446	george washington carver --> person place of birth --> [u'Diamond']	1	george washington --> government position held district represented --> [u'Virginia']	50
1315	what language do ukrainian people speak?	4850	ukraine --> country languages spoken --> [u'Russian Language', u'Ukrainian Language', u'Moldovan language', u'Romanian Language', u'Hungarian language']	124	ukrainians --> ethnicity languages spoken --> [u'Russian Language', u'Ukrainian Language']	19
1316	what is the language of russia s spoken?	9889	russia --> country languages spoken --> [u'Russian Language', u'Yiddish Language', u'Ukrainian Language', u'Chuvash Language', u'Tatar Language']	274	russia --> country languages spoken --> [u'Russian Language', u'Yiddish Language', u'Ukrainian Language', u'Chuvash Language', u'Tatar Language']	274
1317	what language is mainly spoken in egypt?	9867	egypt --> country languages spoken --> [u'Arabic Language', u'Egyptian Arabic', u'Nobiin Language', u'Domari Language', u"Sa'idi Arabic"]	64	egypt --> country languages spoken --> [u'Arabic Language', u'Egyptian Arabic', u'Nobiin Language', u'Domari Language', u"Sa'idi Arabic"]	64
1318	what teams has manny ramirez played for?	143	manny ramírez --> sports team roster team --> [u'Cleveland Indians', u'Los Angeles Dodgers', u'Boston Red Sox']	25	manny ramírez --> sports team roster team --> [u'Chicago White Sox', u'Cleveland Indians', u'Los Angeles Dodgers', u'Oakland Athletics', u'Boston Red Sox']	26
1319	what university did gordon brown attend?	410	gordon brown --> education institution --> [u'University of Edinburgh', u'Kirkcaldy High School', u'Kirkcaldy West Primary School']	3	gordon brown --> education institution --> [u'University of Edinburgh', u'Kirkcaldy High School', u'Kirkcaldy West Primary School']	3
1320	what were amelia earhart's achievements?	131	amelia earhart --> person profession --> [u'Writer', u'Pilot']	0	amelia earhart --> person profession --> [u'Writer', u'Pilot']	0
1321	what country does rafael nadal play for?	742	rafael nadal --> competitor competition relationship country --> [u'Spain']	5	rafael nadal --> person nationality --> [u'Spain']	5
1322	what famous people are from el salvador?	1388	el salvador --> location people born here --> [u'Wilfredo Iraheta', u'Pedro Jos\xe9 Escal\xf3n', u'DJ Quest', u'Jos\xe9 No\xe9 Melgar', u'Elmer Acevedo']	0	el salvador --> location contains --> [u'Santa Ana', u'El Mozote', u'Torre Cuscatl\xe1n', u'San Francisco Gotera', u'Perqu\xedn']	18
1323	what other movies is josh hutcherson in?	236	josh hutcherson --> award nomination nominated for --> [u'The Kids Are All Right', u'Bridge to Terabithia', u'The Hunger Games']	17	josh hutcherson --> award nomination nominated for --> [u'The Kids Are All Right', u'Bridge to Terabithia', u'The Hunger Games']	17
1324	what is the new movie john carter about?	799	tron: legacy --> film genre --> [u'Action film', u'Adventure film', u'Science Fiction', u'Computers']	0	john carter of mars --> performance film --> [u'John Carter']	2
1325	what type of government did mexico have?	12709	mexico --> country form of government --> [u'Presidential system', u'Federal republic', u'Constitutional republic']	0	mexico --> country form of government --> [u'Presidential system', u'Federal republic', u'Constitutional republic']	0
1326	what kind of government does brazil has?	8320	brazil --> country form of government --> [u'Presidential system', u'Federal republic', u'Constitutional republic']	0	brazil --> country form of government --> [u'Presidential system', u'Federal republic', u'Constitutional republic']	0
1327	what to do with kids in summer in dubai?	3462	dubai --> travel destination tourist attractions --> [u'Burj Khalifa', u'Saeed Al Maktoum House', u'The Dubai Mall', u'Jumeirah Beach', u'Jumeirah Mosque']	73	dubai --> travel destination tourist attractions --> [u'Burj Khalifa', u'Saeed Al Maktoum House', u'The Dubai Mall', u'Jumeirah Beach', u'Jumeirah Mosque']	73
1328	when was the leafs last in the playoffs?	982	toronto maple leafs --> sports team championships --> [u'1962 Stanley Cup Finals', u'1932 Stanley Cup Finals', u'1963 Stanley Cup Finals', u'1942 Stanley Cup Finals', u'1949 Stanley Cup Finals']	12	toronto maple leafs --> sports team championships --> [u'1962 Stanley Cup Finals', u'1932 Stanley Cup Finals', u'1963 Stanley Cup Finals', u'1942 Stanley Cup Finals', u'1949 Stanley Cup Finals']	12
1329	what language do most australians speak?	35433	australians --> ethnicity languages spoken --> [u'Italian Language', u'English Language', u'Chinese language', u'Greek Language']	0	australia --> country languages spoken --> [u'English Language', u'Esperanto Language', u'Lojban']	34
1330	what type of government does france use?	44176	france --> country form of government --> [u'Unitary state', u'Constitutional republic', u'Semi-presidential system']	2	france --> country form of government --> [u'Unitary state', u'Constitutional republic', u'Semi-presidential system']	2
1331	what is the money of switzerland called?	9926	switzerland --> country currency used --> [u'Swiss franc']	12	switzerland --> country currency used --> [u'Swiss franc']	12
1332	where did margaret hoover go to college?	0	margaret hoover --> education institution --> [u'Davidson College']	0	margaret hoover --> education institution --> [u'Davidson College']	0
1333	what college did magic johnson play for?	1374	magic johnson --> education institution --> [u'Michigan State University', u'Everett High School']	6	magic johnson --> sports team roster team --> [u'Los Angeles Lakers']	74
1334	who is number 22 for the dallas cowboys?	6398	dallas cowboys --> sports team roster player --> [u'Andre Smith', u'Shaun Chapas', u'Roy Williams', u'Eddie George', u'Chauncey Washington']	3	dallas cowboys --> football historical roster position player --> [u'Shaun Chapas', u'Roy Williams', u'Eddie George', u'Chauncey Washington', u'Junior Siavii']	3
1335	what team did monta ellis get traded to?	194	monta ellis --> sports team roster team --> [u'Milwaukee Bucks']	1	monta ellis --> sports team roster team --> [u'Golden State Warriors', u'Dallas Mavericks', u'Milwaukee Bucks']	25
1336	what school did douglas macarthur go to?	192	douglas macarthur --> education institution --> [u'United States Military Academy', u'TMI \u2014 The Episcopal School of Texas']	5	douglas macarthur --> education institution --> [u'United States Military Academy', u'TMI \u2014 The Episcopal School of Texas']	5
1337	which countries speak german officially?	51881	german language --> human language countries spoken in --> [u'Belgium', u'Germany', u'Luxembourg', u'Switzerland', u'Canada']	542	german language --> human language countries spoken in --> [u'Belgium', u'Germany', u'Luxembourg', u'Switzerland', u'Canada']	542
1338	who is the prime minister of spain 2011?	12754	prime minister of spain --> government position held office holder --> [u'Luis Carrero-Blanco, 1st Duke of Carrero-Blanco', u'Leopoldo Calvo-Sotelo', u'Jos\xe9 Mar\xeda Aznar', u'Francisco Franco', u'Mariano Rajoy']	42	spain --> government position held office holder --> [u'Luis Carrero-Blanco, 1st Duke of Carrero-Blanco', u'Juan Carlos I of Spain', u'Leopoldo Calvo-Sotelo', u'Fernando Mor\xe1n', u'Niceto Alcal\xe1-Zamora']	25
1339	what music period did beethoven live in?	719	ludwig van beethoven --> artist genre --> [u'Classical music', u'Opera']	2	ludwig van beethoven --> artist genre --> [u'Classical music', u'Opera']	2
1340	who is lamar odom playing for this year?	106	lamar odom --> sports team roster team --> [u'Los Angeles Clippers']	5	lamar odom --> basketball player stats team --> [u'Los Angeles Clippers', u'Los Angeles Lakers', u'Miami Heat']	20
1341	where was the palace of knossos located?	331	knossos --> location containedby --> [u'Greece', u'Crete']	81	knossos --> location containedby --> [u'Greece', u'Crete']	81
1342	where are the nato headquarters located?	543	north atlantic treaty organization nato --> organization membership member --> [u'Bulgaria', u'Germany', u'Netherlands', u'Poland', u'United Kingdom']	104	north atlantic treaty organization nato --> mailing address citytown --> [u'Brussels']	71
1343	what team does jeremy lin play for 2013?	74	jeremy lin --> sports team roster team --> [u'Houston Rockets']	6	jeremy lin --> sports team roster team --> [u'New York Knicks', u'Houston Rockets']	13
1344	who is james madison and what did he do?	969	james madison --> government position held office position or title --> [u'United States Representative', u'President of the United States', u'United States Secretary of State']	89	james madison --> person profession --> [u'Lawyer', u'Politician', u'Author']	0
1345	what other books did louis sachar write?	338	louis sachar --> author works written --> [u'Hoyos/Holes', u'Der Fluch des David Ballinger. ( Ab 11 J.).', u"There's a Boy in the Girls' Bathroom", u"There's Boy/grls Bathr", u'Sideways Arithmetic From Wayside School']	2	louis sachar --> award nomination nominated for --> [u'Holes', u'The Cardturner']	13
1346	what is the main language used in china?	18676	china --> country languages spoken --> [u'English Language', u'Chinese language', u'Korean Language', u'Yue Chinese', u'Portuguese Language']	185	china --> country languages spoken --> [u'English Language', u'Chinese language', u'Korean Language', u'Yue Chinese', u'Portuguese Language']	185
1347	what language do australia people speak?	35342	australia --> country languages spoken --> [u'English Language', u'Esperanto Language', u'Lojban']	34	australia --> country languages spoken --> [u'English Language', u'Esperanto Language', u'Lojban']	34
1348	what is the name of airport in new york?	175229	new york city --> location nearby airports --> [u'Mitchel Air Force Base', u'LaGuardia Airport', u'Newark Liberty International Airport', u'John F. Kennedy International Airport', u'Downtown Manhattan Heliport']	294	new york city --> location contains --> [u'Port Morris', u'New Lots', u'Hotel Pennsylvania', u'Mesivtha Tifereth Jerusalem', u'Ocean Hill']	11
1349	what position did stanley matthews play?	26	sir stanley matthews --> football player position s --> [u'Midfielder', u'Outside forward']	0	sir stanley matthews --> person profession --> [u'Football player']	0
1350	what type of music did john lennon sing?	3694	john lennon --> artist genre --> [u'Soft rock', u'Blues-rock', u'Experimental music', u'Pop rock', u'Psychedelic rock']	0	john lennon --> guitarist guitars played --> [u'Fender Stratocaster']	1
1351	what degree did martin luther king earn?	914	martin luther king jr. --> education degree --> [u'Bachelor of Arts', u'PhD', u'Bachelor of Divinity']	0	martin luther king jr. --> education institution --> [u'Boston University', u'Washington High School', u'Morehouse College', u'Crozer Theological Seminary']	9
1352	what college did deion sanders jr go to?	133	deion sanders --> education institution --> [u'Florida State University', u'North Fort Myers High School']	7	deion sanders --> education institution --> [u'Florida State University', u'North Fort Myers High School']	7
1353	what is the state name of new york city?	175415	new york city --> helynevek helynev --> [u'New York']	0	new york city --> location contains --> [u'Port Morris', u'New Lots', u'Hotel Pennsylvania', u'Mesivtha Tifereth Jerusalem', u'Ocean Hill']	11
1354	what is the dominant religion in the us?	93286	united states of america --> religion percentage religion --> [u'Judaism', u'Hinduism', u'Buddhism', u'Islam', u'Christianity']	99	united states of america --> religion percentage religion --> [u'Judaism', u'Hinduism', u'Buddhism', u'Islam', u'Christianity']	99
1355	what is the name of king george vi wife?	1658	george vi --> marriage spouse --> [u'Queen Elizabeth The Queen Mother']	165	george vi --> marriage spouse --> [u'Queen Elizabeth The Queen Mother']	165
1356	what are the important holidays of islam?	761	islam --> religion holidays --> [u'Eid al-Fitr', u"Isra and Mi'raj", u'Eid al-Adha', u'Ramadan']	13	islam --> religion deities --> [u'God', u'Allah']	69
1357	who plays timon's voice in the lion king?	515	the lion king --> performance actor --> [u'James Earl Jones', u'Matthew Broderick', u'Whoopi Goldberg', u'Jim Cummings', u'Robert Guillaume']	13	the lion king --> performance actor --> [u'James Earl Jones', u'Matthew Broderick', u'Whoopi Goldberg', u'Jim Cummings', u'Robert Guillaume']	13
1358	what language do chinese people write in?	59	chinese --> object name --> [u'Chinese']	0	han chinese --> ethnicity languages spoken --> [u'Chinese language']	9
1359	what kourtney kardashian boyfriends name?	48	kourtney kardashian --> dated participant --> [u'Scott Disick']	0	kourtney kardashian --> person parents --> [u'Robert Kardashian', u'Kris Jenner']	9
1360	who played meg in season 1 of family guy?	1034	family guy --> regular tv appearance actor --> [u'Seth MacFarlane', u'Alec Sulkin', u'Patrick Warburton', u'Lacey Chabert', u'Seth Green']	86	family guy --> regular tv appearance actor --> [u'Seth MacFarlane', u'Alec Sulkin', u'Patrick Warburton', u'Lacey Chabert', u'Seth Green']	86
1361	who does jeremy shockey play for in 2012?	82	jeremy shockey --> football historical roster position team --> [u'New Orleans Saints', u'Carolina Panthers', u'New York Giants', u'Miami Hurricanes football']	13	jeremy shockey --> football historical roster position team --> [u'New Orleans Saints', u'Carolina Panthers', u'New York Giants', u'Miami Hurricanes football']	13
1362	where is the main headquarters of google?	1219	google --> mailing address state province region --> [u'California']	7	google --> mailing address state province region --> [u'California']	7
1363	what currency do they use in switzerland?	9926	switzerland --> country currency used --> [u'Swiss franc']	12	switzerland --> country currency used --> [u'Swiss franc']	12
1364	what style of music does john mayer play?	158	john mayer --> artist genre --> [u'Indie rock', u'Alternative rock', u'Soul rock', u'Soft rock', u'Blues-rock']	1	john mayer --> artist genre --> [u'Indie rock', u'Alternative rock', u'Soul rock', u'Soft rock', u'Blues-rock']	1
1365	where did martin luther king got shot at?	912	martin luther king jr. --> deceased person place of death --> [u'Memphis']	14	martin luther king jr. --> deceased person place of death --> [u'Memphis']	14
1366	what time does american horror story air?	93315	EMPTY	0	air --> music contributor film --> [u"Corman's World: Exploits of a Hollywood Rebel", u'About Face: The Supermodels, Then and Now', u'The Virgin Suicides', u'A Trip to the Moon', u'Marie Antoinette']	1
1367	who did reese witherspoon get married to?	337	reese witherspoon --> marriage spouse --> [u'Ryan Phillippe', u'Jim Toth']	13	reese witherspoon --> dated participant --> [u'Jeremy Sisto', u'Jake Gyllenhaal', u'Mark Wahlberg', u"Chris O'Donnell", u'Jason London']	15
1368	what currency should you take to morocco?	2823	morocco --> country currency used --> [u'Moroccan dirham']	1	morocco --> country currency used --> [u'Moroccan dirham']	1
1369	who did johnny depp play in corpse bride?	810	johnny depp --> performance character --> [u'Jack Sparrow', u'Tonto', u'Big Bad Wolf', u'Wade Walker', u'Barnabas Collins']	39	johnny depp --> performance character --> [u'Jack Sparrow', u'Tonto', u'Big Bad Wolf', u'Wade Walker', u'Barnabas Collins']	39
1370	what is the current time in kauai hawaii?	569	kauai --> location time zones --> [u'Hawaii\u2013Aleutian Time Zone', u'UTC\u221210:00']	0	kauai --> location time zones --> [u'Hawaii\u2013Aleutian Time Zone', u'UTC\u221210:00']	0
1371	what type of art did pablo picasso paint?	685	pablo picasso --> visual artist associated periods or movements --> [u'Synthetic cubism', u'Analytic cubism', u"Picasso's Blue Period", u'Cubism', u"Picasso's Rose Period"]	39	pablo picasso --> visual artist associated periods or movements --> [u'Synthetic cubism', u'Analytic cubism', u"Picasso's Blue Period", u'Cubism', u"Picasso's Rose Period"]	39
1372	who was vice president with bill clinton?	7375	bill clinton --> us president vice president --> [u'Al Gore']	179	bill clinton --> us president vice president --> [u'Al Gore']	179
1373	who are the u s senators of pennsylvania?	127138	pennsylvania --> government position held office holder --> [u'Edward Martin', u'Daniel Sturgeon', u'William Bigler', u'Rick Santorum', u'George Ross']	37	united states senate --> government position held office holder --> [u'Peter G. Van Winkle', u'Henry B. Payne', u'Walter Huddleston', u'John W. Thomas', u'Lee Mantle']	8
1374	who will coach carolina panthers in 2013?	2641	carolina panthers --> football team current head coach --> [u'Ron Rivera']	6	carolina panthers --> football team current head coach --> [u'Ron Rivera']	6
1375	where did the iroquois indians come from?	21579	iroquois --> ethnicity geographic distribution --> [u'Ontario', u'Qu\xe9bec']	10	iroquois --> ethnicity geographic distribution --> [u'Ontario', u'Qu\xe9bec']	10
1376	what movies has liam hemsworth played in?	148	liam hemsworth --> performance film --> [u'The Expendables 2', u'Triangle', u'The Last Song', u'The Hunger Games', u'The Hunger Games: Catching Fire']	16	liam hemsworth --> award nomination nominated for --> [u'The Hunger Games']	5
1377	what kind of government does poland have?	8867	poland --> country form of government --> [u'Democracy', u'Parliamentary republic']	0	poland --> country form of government --> [u'Democracy', u'Parliamentary republic']	0
1378	what offices did theodore roosevelt hold?	1500	theodore roosevelt --> government position held basic title --> [u'President', u'Vice President', u'Governor']	18	theodore roosevelt --> government position held district represented --> [u'United States of America']	24
1379	what country did benito mussolini govern?	754	benito mussolini --> person nationality --> [u'Italy']	99	benito mussolini --> person profession --> [u'Writer', u'Journalist', u'Politician']	0
1380	what currency is accepted in new zealand?	20485	new zealand --> country currency used --> [u'New Zealand dollar']	10	new zealand --> country currency used --> [u'New Zealand dollar']	10
1381	which countries speak germanic languages?	88	EMPTY	0	germanic languages --> language family geographic distribution --> [u'Northern Europe']	5
1382	where did buster posey go to high school?	91	buster posey --> person place of birth --> [u'Leesburg']	0	buster posey --> education institution --> [u'Florida State University']	1
1383	what currency should you take to vietnam?	4999	vietnam --> country currency used --> [u'Vietnamese dong']	0	vietnam --> country currency used --> [u'Vietnamese dong']	0
1384	what kind of cancer did carl wilson have?	122	carl wilson --> deceased person cause of death --> [u'Lung cancer', u'Brain tumor']	0	cancer --> cause of death includes causes of death --> [u'Stomach cancer', u'Throat cancer', u'Prostate cancer', u'Leukemia', u'Lymphoma']	3
1385	what islands did darwin study finches on?	1819	charles darwin --> kwtopic has sentences --> [u'The mission was under the command of FitzRoy, whose cabin Darwin shared.', u'At 22, Darwin took part in a geological field trip through Wales led by geologist Sedgwick .', u'The next year he joined an expedition to South America working as a naturalist for the Royal Navy aboard the ""Beagle"".', u'The purpose of the expedition, which lasted for nearly four years, was to survey the east and west coasts of South America, but it also took in the Cape Verde Islands, the Galapagos, Tahiti, New Zealand, Australia, Mauritius and South Africa.', u'Other publications followed, most dealing with the geological aspects of his trip, but Darwin never forgot the ""species question"".']	0	iceland --> country form of government --> [u'Constitutional republic', u'Parliamentary republic']	0
1386	who won the american league east in 2012?	1474	american league east --> sports league participation team --> [u'New York Yankees', u'Boston Red Sox', u'Baltimore Orioles', u'Toronto Blue Jays', u'Tampa Bay Rays']	50	american league --> sports league participation team --> [u'Chicago White Sox', u'Cleveland Indians', u'Kansas City Royals', u'Minnesota Twins', u'Kansas City Athletics']	224
1387	when olympic games 2012 opening ceremony?	2118	olympic games --> book subject works --> [u'The Complete Book of the Olympics', u'The Amateurs: The Story of Four Young Men and Their Quest for an Olympic Gold Medal', u'The complete book of the Winter Olympics', u'Berlin Games', u'The Olympic Odyssey']	0	olympic games --> book subject works --> [u'The Complete Book of the Olympics', u'The Amateurs: The Story of Four Young Men and Their Quest for an Olympic Gold Medal', u'The complete book of the Winter Olympics', u'Berlin Games', u'The Olympic Odyssey']	0
1388	who is the coach for the new york knicks?	177046	new york knicks --> basketball team head coach --> [u'Mike Woodson']	3	new york knicks --> basketball team head coach --> [u'Mike Woodson']	3
1389	what was bonnie prince charlie full name?	513	charles edward stuart --> person in fiction representations in fiction --> [u'Charles Edward Stuart']	0	charles edward stuart --> military command military combatant --> [u'Jacobitism']	43
1390	what university did obama graduated from?	5031	barack obama --> education institution --> [u'Columbia University', u'Occidental College', u'Punahou School', u'Harvard Law School', u'State Elementary School Menteng 01']	23	barack obama --> education institution --> [u'Columbia University', u'Occidental College', u'Punahou School', u'Harvard Law School', u'State Elementary School Menteng 01']	23
1391	what timezone is phoenix az in right now?	5763	phoenix --> location time zones --> [u'Mountain Time Zone']	2	phoenix --> location time zones --> [u'Mountain Time Zone']	2
1392	what team does colin kaepernick play for?	115	colin kaepernick --> football roster position team --> [u'San Francisco 49ers']	20	colin kaepernick --> football roster position team --> [u'San Francisco 49ers']	20
1393	where did scott fitzgerald go to college?	348	f. scott fitzgerald --> education institution --> [u'Princeton University', u'St. Paul Academy and Summit School', u'Nardin Academy']	3	f. scott fitzgerald --> education institution --> [u'Princeton University', u'St. Paul Academy and Summit School', u'Nardin Academy']	3
1394	what kind of shoes do french people wear?	116	EMPTY	0	french people --> ethnicity languages spoken --> [u'French Language']	20
1395	what does joey jordison play in slipknot?	210	joey jordison --> group membership role --> [u'Drum', u'Lead guitar', u'Vocals', u'Drums']	7	joey jordison --> producer tracks produced --> [u'Welcome to the Strange', u"The Goatrider's Horde"]	0
1396	what year did jimmy the rev sullivan die?	35	the rev --> group membership start --> [u'1998', u'1999', u'2001']	0	the rev --> deceased person cause of death --> [u'Natural causes', u'Drug overdose']	0
1397	what kind of music did jimi hendrix play?	666	jimi hendrix --> artist genre --> [u'Blues-rock', u'Heavy metal', u'Psychedelic rock', u'Rock music', u'Experimental rock']	10	jimi hendrix --> artist genre --> [u'Blues-rock', u'Heavy metal', u'Psychedelic rock', u'Rock music', u'Experimental rock']	10
1398	what planet did luke skywalker came from?	271	luke skywalker --> fictional character place of birth --> [u'Polis Massa']	0	luke skywalker --> performance actor --> [u'Mark Hamill']	38
1399	what to do in cancun during spring break?	16	cancún --> travel destination tourist attractions --> [u'Coba', u'Xel-Ha Park', u'Chichen Itza', u'Xcaret Park', u'Sistema Dos Ojos']	0	cancún --> location contains --> [u'Benito Ju\xe1rez Municipality, Quintana Roo', u'IPADE, Canc\xfan', u'TecMilenio University, Canc\xfan', u'Universidad La Salle Cancun, main campus', u'Estadio Andr\xe9s Quintana Roo']	0
1400	where is english spoken in the world map?	21138	english language --> human language main country --> [u'United Kingdom', u'United States of America', u'Australia', u'Canada', u'Kingdom of Great Britain']	320	english language --> human language countries spoken in --> [u'England', u'Japan', u'Hong Kong', u'India', u'Philippines']	299
1401	when does the mayan calendar end exactly?	80	EMPTY	0	end --> football roster position team --> [u'Washington Redskins']	0
1402	what language does egyptian people speak?	15	EMPTY	0	egyptians --> ethnicity languages spoken --> [u'Egyptian Arabic', u'Egyptian language', u'Coptic Language', u"Sa'idi Arabic", u'Languages of Egypt']	6
1403	what did bruce jenner win gold medal for?	1235	bruce jenner --> author works written --> [u'Finding the Champion Within', u'Decathlon challenge', u"Bruce Jenner's Guide to the Olympics"]	0	bruce jenner --> olympic medal honor olympics --> [u'1976 Summer Olympics']	10
1404	what school did ben roethlisberger go to?	724	ben roethlisberger --> sports league draft pick school --> [u'Miami University']	5	ben roethlisberger --> education institution --> [u'Miami University']	5
1405	who played harry potter dumbledore actor?	3353	actor --> profession people with this profession --> [u'Debbie Lytton', u'Bernard Hopkins', u'Fran\xe7ois Billetdoux', u'Antoine Saint-John', u'Vladimir Popovi\u0107']	0	actor --> profession people with this profession --> [u'Debbie Lytton', u'Bernard Hopkins', u'Fran\xe7ois Billetdoux', u'Antoine Saint-John', u'Vladimir Popovi\u0107']	0
1406	what did franz liszt do to earn a living?	554	franz liszt --> person profession --> [u'Composer', u'Pianist', u'Priest', u'Virtuoso']	1	franz liszt --> person profession --> [u'Composer', u'Pianist', u'Priest', u'Virtuoso']	1
1407	who was the leader of the us during wwii?	110107	united states of america --> military command military commander --> [u'William Henry Harrison', u'George Washington', u'David Petraeus', u'Gerald Ford', u'William Carroll']	58	united states of america --> government position held office holder --> [u'William Henry Harrison', u'James A. Garfield', u'William Howard Taft', u'Thomas Jefferson', u'Theodore Roosevelt']	60
1408	what the zip code for seattle washington?	8669	seattle --> citytown postal codes --> [u'98131', u'98161', u'98177', u'98190', u'98184']	0	seattle --> citytown postal codes --> [u'98131', u'98161', u'98177', u'98190', u'98184']	0
1409	who does kroy biermann play football for?	8603	kroy biermann --> football roster position team --> [u'Atlanta Falcons']	1	kroy biermann --> football roster position team --> [u'Atlanta Falcons']	1
1410	what was laura ingalls wilder famous for?	115	laura ingalls wilder --> person profession --> [u'Writer', u'Author']	0	laura ingalls wilder --> person profession --> [u'Writer', u'Author']	0
1411	who is the current leader of france 2010?	44294	france --> government position held office holder --> [u'Fran\xe7ois Mitterrand', u'Armand Falli\xe8res', u"Val\xe9ry Giscard d'Estaing", u'Marion Mar\xe9chal-Le Pen', u'Charles de Gaulle']	35	france --> government position held office holder --> [u'Fran\xe7ois Mitterrand', u'Armand Falli\xe8res', u"Val\xe9ry Giscard d'Estaing", u'Marion Mar\xe9chal-Le Pen', u'Charles de Gaulle']	35
1412	who developed the tcp ip reference model?	10	transmission control protocol --> invention inventor --> [u'Robert  E. Kahn', u'Vint Cerf']	5	model --> profession people with this profession --> [u'Yukari Kuzuya', u'Rozanne Diasz', u'Cindy Fabre', u'Weniecka Ewing', u'Carina Beduschi']	0
1413	what province is montreal canada located?	9531	montreal --> location containedby --> [u'Canada', u'Qu\xe9bec', u'Urban agglomeration of Montreal']	3657	montreal --> location containedby --> [u'Canada', u'Qu\xe9bec', u'Urban agglomeration of Montreal']	3657
1414	where are ike and tina turner's children?	1057	tina turner --> person children --> [u'Raymond Craig Turner', u'Ronnie Turner']	0	ike turner --> place lived location --> [u'Clarksdale']	4
1415	what is the political structure of china?	17393	china --> country form of government --> [u'Communist state', u'Socialist state', u'Single-party state']	1	china --> country form of government --> [u'Communist state', u'Socialist state', u'Single-party state']	1
1416	where is english spoken around the world?	21038	english language --> human language main country --> [u'United Kingdom', u'United States of America', u'Australia', u'Canada', u'Kingdom of Great Britain']	320	english language --> human language countries spoken in --> [u'England', u'Japan', u'Hong Kong', u'India', u'Philippines']	299
1417	who did benjamin franklin get married to?	458	benjamin franklin --> marriage spouse --> [u'Deborah Read']	10	benjamin franklin --> marriage spouse --> [u'Deborah Read']	10
1418	where to exchange euros in new york city?	175371	new york city --> location nearby airports --> [u'Mitchel Air Force Base', u'LaGuardia Airport', u'Newark Liberty International Airport', u'John F. Kennedy International Airport', u'Downtown Manhattan Heliport']	294	new york city --> location contains --> [u'Port Morris', u'New Lots', u'Hotel Pennsylvania', u'Mesivtha Tifereth Jerusalem', u'Ocean Hill']	11
1419	what language does algerian people speak?	2963	algeria --> country languages spoken --> [u'Arabic Language', u'Guanche Language', u'Western Berber languages', u'Northern Berber languages', u'Numidian language']	47	algeria --> country languages spoken --> [u'Arabic Language', u'Guanche Language', u'Western Berber languages', u'Northern Berber languages', u'Numidian language']	47
1420	who does alyson stoner play in camp rock?	69	alyson stoner --> performance character --> [u'Camille Gage', u'Kid Rat', u'Alice McKinley', u'Holly Hobbie', u'Isabella Garcia-Shapiro']	0	alyson stoner --> performance character --> [u'Camille Gage', u'Kid Rat', u'Alice McKinley', u'Holly Hobbie', u'Isabella Garcia-Shapiro']	0
